ano,Maranhão,Nordeste,Brasil
2006,44.31818181818182,45.169827966475516,43.35222217018686
2007,47.712418300653596,46.28378378378378,44.31419525969025
2008,43.47826086956522,47.52,45.13917231246429
2009,43.87755102040816,47.564250095895666,45.94282068663025
2010,40.66985645933015,48.14063556457066,47.18707344966245
2011,45.23809523809524,49.228028503562946,48.764894898915514
2012,42.58064516129032,49.14134742404227,50.30972259628332
2013,46.0,51.3998369122044,51.839074214929916
2014,52.083333333333336,52.97211993687533,52.93622616699539
2015,52.226720647773284,54.23934108527132,53.67583286567012
2016,55.00000000000001,52.61345852895148,54.166345288597505
2017,55.5045871559633,53.52781546811397,55.02185678601166
2018,49.282296650717704,54.05312176612625,55.545335085413925
2019,53.09734513274337,53.373313343328334,55.516496107074964
2020,53.62903225806451,53.403535163595336,56.084332747689245
2021,57.27554179566563,54.463667820069205,57.003550295857984
2022,56.61538461538461,51.38319672131148,56.300601202404806
