ano,Maranhão,Nordeste,Brasil
2006,2773.55,3359.01,4328.7
2007,2941.42,3619.75,4430.04
2008,3284.05,3867.48,4759.54
2009,3613.44,4156.32,5080.36
2010,4338.45,4704.84,5310.47
2011,5127.02,5086.77,5584.23
2012,5638.81,5621.33,5812.8
2013,8869.72,5777.29,6164.89
2014,8711.64,5490.91,6270.53
2015,8876.58,6296.28,6447.58
2016,9698.1,6005.25,6814.59
2017,10513.25,6153.11,6976.08
2018,9801.07,6306.42,7063.26
2019,8275.79,5685.42,7107.33
2020,8744.43,5717.13,7028.14
2021,9028.69,5699.06,7247.35
2022,11894.54,10121.24,10261.35
