nivel_geografico,faixa_etaria_desc,n,pct
Brasil,15 a 17,3,0.0
Brasil,18 a 24,2523,5.1
Brasil,25 a 29,7406,14.8
Brasil,30 a 39,18492,37.1
Brasil,40 a 49,12565,25.2
Brasil,50 a 64,7740,15.5
Brasil,65 ou mais,1171,2.3
Maranhão,18 a 24,6,1.8
Maranhão,25 a 29,43,13.2
Maranhão,30 a 39,131,40.3
Maranhão,40 a 49,84,25.8
Maranhão,50 a 64,46,14.2
Maranhão,65 ou mais,15,4.6
Nordeste,18 a 24,121,3.1
Nordeste,25 a 29,384,9.8
Nordeste,30 a 39,1157,29.6
Nordeste,40 a 49,1023,26.2
Nordeste,50 a 64,927,23.7
Nordeste,65 ou mais,292,7.5
