ano,faixa_etaria_desc,n,pct
2006,18 a 24,2,1.1
2006,25 a 29,22,12.5
2006,30 a 39,41,23.3
2006,40 a 49,34,19.3
2006,50 a 64,75,42.6
2006,65 ou mais,2,1.1
2007,18 a 24,3,2.0
2007,25 a 29,14,9.2
2007,30 a 39,29,19.0
2007,40 a 49,30,19.6
2007,50 a 64,74,48.4
2007,65 ou mais,3,2.0
2008,18 a 24,9,4.3
2008,25 a 29,29,14.0
2008,30 a 39,37,17.9
2008,40 a 49,41,19.8
2008,50 a 64,83,40.1
2008,65 ou mais,8,3.9
2009,18 a 24,3,1.5
2009,25 a 29,25,12.8
2009,30 a 39,37,18.9
2009,40 a 49,30,15.3
2009,50 a 64,93,47.4
2009,65 ou mais,8,4.1
2010,18 a 24,10,4.8
2010,25 a 29,24,11.5
2010,30 a 39,45,21.5
2010,40 a 49,28,13.4
2010,50 a 64,94,45.0
2010,65 ou mais,8,3.8
2011,18 a 24,5,2.4
2011,25 a 29,28,13.3
2011,30 a 39,52,24.8
2011,40 a 49,22,10.5
2011,50 a 64,90,42.9
2011,65 ou mais,13,6.2
2012,18 a 24,8,5.2
2012,25 a 29,26,16.8
2012,30 a 39,56,36.1
2012,40 a 49,16,10.3
2012,50 a 64,40,25.8
2012,65 ou mais,9,5.8
2013,18 a 24,8,2.7
2013,25 a 29,48,16.0
2013,30 a 39,119,39.7
2013,40 a 49,55,18.3
2013,50 a 64,60,20.0
2013,65 ou mais,10,3.3
2014,18 a 24,5,2.1
2014,25 a 29,36,15.0
2014,30 a 39,97,40.4
2014,40 a 49,36,15.0
2014,50 a 64,54,22.5
2014,65 ou mais,12,5.0
2015,18 a 24,8,3.2
2015,25 a 29,42,17.0
2015,30 a 39,86,34.8
2015,40 a 49,41,16.6
2015,50 a 64,57,23.1
2015,65 ou mais,13,5.3
2016,18 a 24,6,2.7
2016,25 a 29,32,14.5
2016,30 a 39,79,35.9
2016,40 a 49,41,18.6
2016,50 a 64,49,22.3
2016,65 ou mais,13,5.9
2017,18 a 24,7,3.2
2017,25 a 29,35,16.1
2017,30 a 39,73,33.5
2017,40 a 49,45,20.6
2017,50 a 64,46,21.1
2017,65 ou mais,12,5.5
2018,18 a 24,6,2.9
2018,25 a 29,33,15.8
2018,30 a 39,71,34.0
2018,40 a 49,43,20.6
2018,50 a 64,43,20.6
2018,65 ou mais,13,6.2
2019,18 a 24,5,2.2
2019,25 a 29,43,19.0
2019,30 a 39,83,36.7
2019,40 a 49,56,24.8
2019,50 a 64,31,13.7
2019,65 ou mais,8,3.5
2020,18 a 24,8,3.2
2020,25 a 29,45,18.1
2020,30 a 39,83,33.5
2020,40 a 49,67,27.0
2020,50 a 64,32,12.9
2020,65 ou mais,13,5.2
2021,18 a 24,4,1.2
2021,25 a 29,45,13.9
2021,30 a 39,121,37.5
2021,40 a 49,96,29.7
2021,50 a 64,44,13.6
2021,65 ou mais,13,4.0
2022,18 a 24,6,1.8
2022,25 a 29,43,13.2
2022,30 a 39,131,40.3
2022,40 a 49,84,25.8
2022,50 a 64,46,14.2
2022,65 ou mais,15,4.6
